danceability,energy,loudness,speechiness,instrumentalness,valence,tempo,acousticness,track_name,artist
0.878,0.525,-6.832,0.0578,0.0,0.694,112.022,0.183,Sunday Best,Surfaces
0.824,0.587,-6.401,0.0937,0.000105,0.514,98.029,0.69,Dance Monkey,Tones And I
0.693,0.678,-7.159,0.0324,5.71e-06,0.404,103.952,0.0151,Higher Love,Kygo
0.652,0.698,-4.667,0.042,0.000115,0.47,96.021,0.00112,Party In The U.S.A.,Miley Cyrus
0.807,0.887,-3.726,0.0503,2.87e-06,0.961,134.052,0.0573,All About That Bass,Meghan Trainor
0.815,0.518,-6.594,0.0897,0.0,0.877,151.891,0.223,3 Nights,Dominic Fike
0.853,0.599,-4.756,0.0411,7.93e-06,0.843,119.993,0.00334,Blurred Lines,Robin Thicke
0.822,0.739,-4.541,0.0311,4.26e-05,0.745,118.992,0.0264,Just Dance,Lady Gaga
0.616,0.869,-3.911,0.0327,0.0,0.473,127.966,0.0283,Club Can't Handle Me (feat. David Guetta),Flo Rida
0.794,0.832,-4.862,0.0407,1.14e-05,0.871,107.657,0.237,"Whenever, Wherever",Shakira
0.766,0.563,-7.516,0.0339,0.683,0.964,126.007,0.0263,Can't Get You out of My Head,Kylie Minogue
0.812,0.879,-10.998,0.0397,0.224,0.962,129.991,0.0167,Barbie Girl,Aqua
0.607,0.649,-6.695,0.0362,2.46e-05,0.505,102.996,0.0306,Something Just Like This,The Chainsmokers
0.776,0.875,-5.535,0.0575,0.0,0.849,111.988,0.0343,Black Magic,Little Mix
0.621,0.82,-4.865,0.0367,0.0,0.452,144.905,0.332,Marry You,Bruno Mars
0.762,0.863,-3.689,0.0561,0.0,0.965,106.012,0.015,Troublemaker (feat. Flo Rida),Olly Murs
0.597,0.837,-6.518,0.375,0.00115,0.447,126.342,0.00427,Call on Me - Radio Mix,Eric Prydz
0.704,0.636,-6.029,0.0252,0.0,0.89,111.845,0.0344,Lovefool,The Cardigans
0.682,0.919,-3.18,0.0875,0.0,0.535,95.982,0.256,Good as Hell,Lizzo
0.652,0.812,-3.797,0.0409,3.01e-05,0.72,126.023,0.00125,Last Friday Night (T.G.I.F.),Katy Perry
0.425,0.954,-3.756,0.0476,0.0,0.933,178.043,0.00414,Livin' la Vida Loca,Ricky Martin
0.663,0.857,-2.16,0.0544,0.0,0.931,126.039,0.0542,Live While We're Young,One Direction
0.585,0.696,-5.6,0.0307,0.0,0.522,104.01,0.204,Call You Mine,The Chainsmokers
0.661,0.723,-6.976,0.0566,1.23e-05,0.316,113.778,0.179,Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy),Martin Garrix
0.736,0.906,-7.589,0.048,0.585,0.698,137.001,0.164,B.O.T.A. (Baddest Of Them All) - Edit,Eliza Rose
0.796,0.798,-6.312,0.0317,4.19e-05,0.942,116.032,0.034,Cold Heart - PNAU Remix,Elton John
0.739,0.586,-5.079,0.0472,0.000252,0.444,124.026,0.0245,Words (feat. Zara Larsson),Alesso
0.578,0.912,-3.929,0.114,0.00362,0.68,127.87,0.0166,Afraid To Feel,LF SYSTEM
0.687,0.818,-4.221,0.0778,0.0,0.886,125.952,0.0112,Deep Down (feat. Never Dull),Alok
0.621,0.785,-4.499,0.11,5.92e-06,0.779,123.96,0.0165,21 Reasons (feat. Ella Henderson),Nathan Dawe
0.763,0.782,-4.541,0.0346,7.08e-06,0.502,127.034,0.182,Where Did You Go? (feat. MNEK),Jax Jones
0.73,0.907,-3.72,0.0606,0.114,0.249,120.968,0.0921,Baby Girl,Disco Lines
0.665,0.738,-5.931,0.0379,0.00598,0.0389,125.037,0.0124,Heaven Takes You Home (feat. Connie Constance),Swedish House Mafia
0.643,0.585,-5.994,0.0369,0.0,0.188,106.015,0.225,Woke Up in Love,Kygo
